node_id,cluster_hdbscan,lat_centro,lon_centro,lat_min,lat_max,lon_min,lon_max,numero_puntos_historicos,numero_huracanes_unicos,anios_unicos,fecha_inicio,fecha_fin,intensidad_media,intensidad_maxima,intensidad_minima,presion_media,presion_minima,presion_maxima,velocidad_media_kmh,velocidad_maxima_kmh,distancia_media_km,probabilidad_cluster_media,era5_sst_c_media,era5_sst_c_min,era5_sst_c_max,era5_sst_c_cobertura,era5_msl_hpa_media,era5_msl_hpa_min,era5_msl_hpa_max,era5_msl_hpa_cobertura,era5_t2m_c_media,era5_t2m_c_min,era5_t2m_c_max,era5_t2m_c_cobertura,era5_d2m_c_media,era5_d2m_c_min,era5_d2m_c_max,era5_d2m_c_cobertura,era5_rh700_pct_media,era5_rh700_pct_min,era5_rh700_pct_max,era5_rh700_pct_cobertura,era5_rh500_pct_media,era5_rh500_pct_min,era5_rh500_pct_max,era5_rh500_pct_cobertura,era5_q700_kgkg_media,era5_q700_kgkg_min,era5_q700_kgkg_max,era5_q700_kgkg_cobertura,era5_vo850_s1_media,era5_vo850_s1_min,era5_vo850_s1_max,era5_vo850_s1_cobertura,era5_u850_ms_media,era5_u850_ms_min,era5_u850_ms_max,era5_u850_ms_cobertura,era5_v850_ms_media,era5_v850_ms_min,era5_v850_ms_max,era5_v850_ms_cobertura,era5_u200_ms_media,era5_u200_ms_min,era5_u200_ms_max,era5_u200_ms_cobertura,era5_v200_ms_media,era5_v200_ms_min,era5_v200_ms_max,era5_v200_ms_cobertura,era5_shear_200_850_ms_media,era5_shear_200_850_ms_min,era5_shear_200_850_ms_max,era5_shear_200_850_ms_cobertura,cem_distancia_tierra_km_media,cem_distancia_tierra_km_min,cem_distancia_tierra_km_max,cem_distancia_tierra_km_cobertura,cem_elevacion_cercana_m_media,cem_elevacion_cercana_m_min,cem_elevacion_cercana_m_max,cem_elevacion_cercana_m_cobertura,cem_interaccion_orografica_100km_media,cem_interaccion_orografica_100km_min,cem_interaccion_orografica_100km_max,cem_interaccion_orografica_100km_cobertura,cem_interaccion_orografica_250km_media,cem_interaccion_orografica_250km_min,cem_interaccion_orografica_250km_max,cem_interaccion_orografica_250km_cobertura,cem_interaccion_orografica_500km_media,cem_interaccion_orografica_500km_min,cem_interaccion_orografica_500km_max,cem_interaccion_orografica_500km_cobertura,cem_elevacion_max_100km_media,cem_elevacion_max_100km_min,cem_elevacion_max_100km_max,cem_elevacion_max_100km_cobertura,cem_elevacion_max_250km_media,cem_elevacion_max_250km_min,cem_elevacion_max_250km_max,cem_elevacion_max_250km_cobertura,cem_elevacion_max_500km_media,cem_elevacion_max_500km_min,cem_elevacion_max_500km_max,cem_elevacion_max_500km_cobertura,cem_pendiente_max_100km_media,cem_pendiente_max_100km_min,cem_pendiente_max_100km_max,cem_pendiente_max_100km_cobertura,cem_pendiente_max_250km_media,cem_pendiente_max_250km_min,cem_pendiente_max_250km_max,cem_pendiente_max_250km_cobertura,cem_pendiente_max_500km_media,cem_pendiente_max_500km_min,cem_pendiente_max_500km_max,cem_pendiente_max_500km_cobertura,cem_rugosidad_max_100km_media,cem_rugosidad_max_100km_min,cem_rugosidad_max_100km_max,cem_rugosidad_max_100km_cobertura,cem_rugosidad_max_250km_media,cem_rugosidad_max_250km_min,cem_rugosidad_max_250km_max,cem_rugosidad_max_250km_cobertura,cem_rugosidad_max_500km_media,cem_rugosidad_max_500km_min,cem_rugosidad_max_500km_max,cem_rugosidad_max_500km_cobertura,meses_frecuentes,direccion_dominante,cem_clase_interaccion_100km_dominante,cem_clase_interaccion_250km_dominante,cem_clase_interaccion_500km_dominante,probabilidad_aparicion,duracion_historica_dias,duracion_historica_anios
HDB_20,20,16.57137305699482,-111.31379533678756,10.7,23.5,-125.0,-94.8,15440,1043,77,1949-06-11 12:00:00,2025-10-29 00:00:00,51.39708549222798,185,10,993.4969589737918,872.0,1014.0,15.308273294400934,61.088669110958335,91.73995573550371,0.9999875399187734,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,499.6595509937696,0.3420415757333801,1538.0545265600767,1.0,7.404282933160285,0.0,1302.0,0.09980569948186528,0.014230672214414306,0.0,0.628402930622577,1.0,0.08714232381082061,0.0,0.7373692712519664,1.0,0.21310156435882877,0.0,0.8612997337051854,1.0,1035.776836158192,-1.0,3496.0,0.045854922279792744,402.0083549222798,0.0,4218.0,1.0,2522.201176071469,0.0,5524.0,0.5727331606217616,33.86433689184752,24.445907348914513,36.23151487860127,0.045854922279792744,8.611647210603993,0.0,36.23151487860127,1.0,34.93423191523553,33.81923915626158,60.95983685516823,0.5813471502590674,1026.6214689265537,1004.0,1669.0,0.045854922279792744,281.9820595854922,0.0,1669.0,1.0,1295.2291666666667,1004.0,3038.0,0.5813471502590674,"9 (3584), 8 (3278), 7 (3230)",W,sin_interaccion,sin_interaccion,baja,0.9590062111801242,27898.5,76.38193018480493
HDB_19,19,24.034848484848485,-113.1530303030303,23.3,24.7,-113.9,-112.6,66,39,29,1949-09-07 06:00:00,2022-09-08 06:00:00,38.40909090909091,110,15,1000.175,950.0,1011.0,12.27397984442537,31.609502296087523,73.64387906655222,0.8893912878794066,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,120.34466280098358,46.74585707035226,190.93104192038368,1.0,7.0,7.0,7.0,0.045454545454545456,0.07282914517334584,0.0,0.33453653111186216,1.0,0.37334191277892814,0.25253282018680034,0.5130379273264251,1.0,0.4462703176021439,0.39685985221856385,0.4977894816135858,1.0,317.2916666666667,-1.0,507.0,0.36363636363636365,969.2727272727273,507.0,1738.0,1.0,2042.0,2042.0,2042.0,1.0,33.87203527971346,33.87203527971346,33.87203527971346,0.36363636363636365,33.87203527971346,33.87203527971346,33.87203527971346,1.0,33.87203527971346,33.87203527971346,33.87203527971346,1.0,1005.0,1005.0,1005.0,0.36363636363636365,1023.5454545454545,1005.0,1056.0,1.0,1236.0,1236.0,1236.0,1.0,"9 (46), 8 (13), 7 (4)",NW,sin_interaccion,baja,baja,0.0040993788819875775,26664.0,73.00205338809035
HDB_16,16,21.914545454545454,-122.69090909090909,21.4,22.7,-123.3,-121.6,55,36,31,1956-08-24 12:00:00,2022-08-01 18:00:00,42.09090909090909,95,20,1000.1724137931035,963.0,1010.0,14.815332949285137,39.08626835103636,88.89199769571083,0.943476902905925,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,889.6897444464449,838.1061986995884,963.6875115604686,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,"8 (21), 9 (15), 7 (14)",W,sin_interaccion,sin_interaccion,,0.0034161490683229812,24083.25,65.93634496919918
HDB_2,2,27.02037037037037,-112.92222222222223,25.8,28.5,-114.3,-111.9,54,30,27,1954-07-17 06:00:00,2022-09-08 18:00:00,39.44444444444444,75,15,999.7777777777778,982.0,1010.0,17.632466372612097,44.72285706022246,90.68868624215482,0.9568946953153872,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,16.04084501933195,0.3420415757321082,100.24772542899653,1.0,190.3846153846154,0.0,1305.0,0.7222222222222222,0.49733458059581526,0.0,0.5733525167633933,1.0,0.5709400677382279,0.4523841506687606,0.6042452289901911,1.0,0.5598199321886593,0.46033817376253483,0.614860575015574,1.0,1589.4528301886792,541.0,1824.0,0.9814814814814815,1838.7222222222222,1824.0,2089.0,1.0,2726.425925925926,1845.0,3075.0,1.0,33.87203527971346,33.87203527971346,33.87203527971346,0.9814814814814815,33.87203527971346,33.87203527971346,33.87203527971346,1.0,34.006037183438565,33.87203527971346,36.28406954676543,1.0,1133.0566037735848,1005.0,1236.0,0.9814814814814815,1236.0,1236.0,1236.0,1.0,1353.7037037037037,1236.0,1533.0,1.0,"9 (32), 8 (13), 10 (7)",N,media,media,media,0.0033540372670807454,24890.5,68.14647501711157
HDB_18,18,24.361538461538462,-114.63076923076925,23.7,25.3,-115.0,-114.3,39,28,25,1954-09-07 06:00:00,2025-10-09 18:00:00,39.743589743589745,90,15,999.6451612903226,965.0,1013.0,15.458386298741452,34.93185055035529,92.75031779244873,0.9520625327196239,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,236.7898838227972,179.0626749324533,271.5621299743159,1.0,0.0,0.0,0.0,0.20512820512820512,0.0,0.0,0.0,1.0,0.11687096842760959,0.0,0.2858483891473106,1.0,0.3623414717024855,0.33055205147871136,0.3988769777560239,1.0,,,,0.0,250.43589743589743,0.0,876.0,1.0,1988.5897435897436,1824.0,2042.0,1.0,,,,0.0,23.449870578263162,0.0,33.87203527971346,1.0,33.87203527971346,33.87203527971346,33.87203527971346,1.0,,,,0.0,695.7692307692307,0.0,1005.0,1.0,1236.0,1236.0,1236.0,1.0,"9 (23), 8 (6), 10 (6)",NW,sin_interaccion,muy_baja,baja,0.002422360248447205,25965.5,71.08966461327857
HDB_10,10,20.227586206896554,-124.8,19.7,20.7,-125.0,-124.3,29,28,25,1952-07-27 00:00:00,2022-09-24 12:00:00,38.96551724137931,75,20,1004.8823529411765,992.0,1009.0,18.707486654712536,28.612761328213892,112.24491992827521,0.9999487322338535,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,1161.3657722185044,1100.8795590781715,1211.6613583399999,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,"7 (11), 8 (10), 9 (5)",W,sin_interaccion,sin_interaccion,,0.0018012422360248446,25626.5,70.1615331964408
HDB_14,14,21.490322580645163,-118.93870967741935,20.9,21.9,-119.4,-118.4,31,26,21,1957-10-03 06:00:00,2025-08-27 06:00:00,52.903225806451616,95,20,991.0,950.0,1008.0,16.246037293629637,28.62169079810586,97.47622376177783,0.9626789120287461,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,762.2672802812417,728.334946387376,796.5364593891676,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,"8 (11), 7 (8), 9 (8)",NW,sin_interaccion,sin_interaccion,,0.0019254658385093168,24800.0,67.89869952087611
HDB_3,3,22.585714285714285,-106.99714285714286,21.6,23.9,-107.5,-106.6,35,24,22,1957-10-22 00:00:00,2021-10-13 12:00:00,58.714285714285715,120,25,991.4444444444445,952.0,1006.0,18.227537987539417,38.67849473259778,109.3652279252365,0.9886951538304903,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,56.755382357502306,0.3420415757336294,109.6546574402229,1.0,14.8,1.0,58.0,0.14285714285714285,0.3106433944477479,0.0,0.6361460820001563,1.0,0.6004936430290828,0.506639995475667,0.6880209846970056,1.0,0.6162981292198885,0.5519360349818082,0.6696002616363952,1.0,831.0909090909091,44.0,2981.0,0.9428571428571428,3152.285714285714,2603.0,3209.0,1.0,3860.6857142857143,3256.0,4218.0,1.0,33.87739626043734,33.87203527971346,33.8984088770766,0.9428571428571428,36.6437496780654,33.8984088770766,37.10130647823019,1.0,37.10130647823019,37.10130647823019,37.10130647823019,1.0,1049.4242424242425,1005.0,1385.0,0.9428571428571428,1465.0,1266.0,1529.0,1.0,1532.5428571428572,1529.0,1533.0,1.0,"10 (16), 9 (12), 7 (3)",N,baja,media,media,0.002173913043478261,23367.5,63.97672826830938
HDB_6,6,11.2775,-117.57000000000001,11.0,11.7,-118.6,-116.2,40,22,19,1970-06-03 12:00:00,2019-07-01 18:00:00,42.75,100,20,996.05,960.0,1010.0,18.75931076095495,40.38625922363381,112.55586456572969,0.9819673463019409,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,1056.8716045637277,981.0941779585793,1139.7016193839547,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,"8 (15), 7 (12), 6 (8)",W,sin_interaccion,sin_interaccion,,0.002484472049689441,17925.25,49.0766598220397
HDB_4,4,23.795238095238094,-122.28809523809525,23.1,24.7,-123.4,-121.1,42,21,21,1956-09-16 18:00:00,2022-08-11 06:00:00,31.30952380952381,75,20,1006.4666666666667,994.0,1010.0,14.434447314534422,26.16406875170914,86.60668388720653,0.9763185688932929,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,694.2229100649041,635.0275059514915,813.0751629627613,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,"8 (16), 7 (14), 10 (6)",W,sin_interaccion,sin_interaccion,,0.0026086956521739132,24069.5,65.89869952087611
