latitud,longitud,probabilidad
9.52916667,-125.8,0.0
9.52916667,-125.7,0.0
9.52916667,-125.60000000000001,0.0
9.52916667,-125.50000000000001,0.0
9.52916667,-125.40000000000002,0.0
9.52916667,-125.30000000000003,0.0
9.52916667,-125.20000000000003,0.0
9.52916667,-125.10000000000004,0.0
9.52916667,-125.00000000000004,0.0
9.52916667,-124.90000000000005,0.0
9.52916667,-124.80000000000005,0.0
9.52916667,-124.70000000000006,0.0
9.52916667,-124.60000000000007,0.0
9.52916667,-124.50000000000007,0.0
9.52916667,-124.40000000000008,0.0
9.52916667,-124.30000000000008,0.0
9.52916667,-124.20000000000009,0.0
9.52916667,-124.1000000000001,0.0
9.52916667,-124.0000000000001,0.0
9.52916667,-123.9000000000001,0.0
9.52916667,-123.80000000000011,0.0
9.52916667,-123.70000000000012,0.0
9.52916667,-123.60000000000012,0.0
9.52916667,-123.50000000000013,0.0
9.52916667,-123.40000000000013,0.0
9.52916667,-123.30000000000014,0.0
9.52916667,-123.20000000000014,0.0
9.52916667,-123.10000000000015,0.0
9.52916667,-123.00000000000016,0.0
9.52916667,-122.90000000000016,0.0
9.52916667,-122.80000000000017,0.0
9.52916667,-122.70000000000017,0.0
9.52916667,-122.60000000000018,0.0
9.52916667,-122.50000000000018,0.0
9.52916667,-122.40000000000019,0.0
9.52916667,-122.3000000000002,0.0
9.52916667,-122.2000000000002,0.0
9.52916667,-122.10000000000021,0.0
9.52916667,-122.00000000000021,0.0
9.52916667,-121.90000000000022,0.0
9.52916667,-121.80000000000022,0.0
9.52916667,-121.70000000000023,0.0
9.52916667,-121.60000000000024,0.0
9.52916667,-121.50000000000024,0.0
9.52916667,-121.40000000000025,0.0
9.52916667,-121.30000000000025,0.0
9.52916667,-121.20000000000026,0.0
9.52916667,-121.10000000000026,0.0
9.52916667,-121.00000000000027,0.0
9.52916667,-120.90000000000028,0.0
9.52916667,-120.80000000000028,0.0
9.52916667,-120.70000000000029,0.0
9.52916667,-120.60000000000029,0.0
9.52916667,-120.5000000000003,0.0
9.52916667,-120.4000000000003,0.0
9.52916667,-120.30000000000031,0.0
9.52916667,-120.20000000000032,0.0
9.52916667,-120.10000000000032,0.0
9.52916667,-120.00000000000033,0.0
9.52916667,-119.90000000000033,0.0
9.52916667,-119.80000000000034,0.0
9.52916667,-119.70000000000034,0.0
9.52916667,-119.60000000000035,0.0
9.52916667,-119.50000000000036,0.0
9.52916667,-119.40000000000036,0.0
9.52916667,-119.30000000000037,0.0
9.52916667,-119.20000000000037,0.0
9.52916667,-119.10000000000038,0.0
9.52916667,-119.00000000000038,0.0
9.52916667,-118.90000000000039,0.0
9.52916667,-118.8000000000004,0.0
9.52916667,-118.7000000000004,0.0
9.52916667,-118.6000000000004,0.0
9.52916667,-118.50000000000041,0.0
9.52916667,-118.40000000000042,0.0
9.52916667,-118.30000000000042,0.0
9.52916667,-118.20000000000043,0.0
9.52916667,-118.10000000000043,0.0
9.52916667,-118.00000000000044,0.0
9.52916667,-117.90000000000045,0.0
9.52916667,-117.80000000000045,0.0
9.52916667,-117.70000000000046,0.0
9.52916667,-117.60000000000046,0.0
9.52916667,-117.50000000000047,0.0
9.52916667,-117.40000000000047,0.0
9.52916667,-117.30000000000048,0.0
9.52916667,-117.20000000000049,0.0
9.52916667,-117.10000000000049,0.0
9.52916667,-117.0000000000005,0.0
9.52916667,-116.9000000000005,0.0
9.52916667,-116.80000000000051,0.0
9.52916667,-116.70000000000051,0.0
9.52916667,-116.60000000000052,0.0
9.52916667,-116.50000000000053,0.0
9.52916667,-116.40000000000053,0.0
9.52916667,-116.30000000000054,0.0
9.52916667,-116.20000000000054,0.0
9.52916667,-116.10000000000055,0.0
9.52916667,-116.00000000000055,0.0
9.52916667,-115.90000000000056,0.0
9.52916667,-115.80000000000057,0.0
9.52916667,-115.70000000000057,0.0
9.52916667,-115.60000000000058,0.0
9.52916667,-115.50000000000058,0.0
9.52916667,-115.40000000000059,0.0
9.52916667,-115.3000000000006,0.0
9.52916667,-115.2000000000006,0.0
9.52916667,-115.1000000000006,0.0
9.52916667,-115.00000000000061,0.0
9.52916667,-114.90000000000062,0.0
9.52916667,-114.80000000000062,0.0
9.52916667,-114.70000000000063,0.0
9.52916667,-114.60000000000063,0.0
9.52916667,-114.50000000000064,0.0
9.52916667,-114.40000000000065,0.0
9.52916667,-114.30000000000065,0.0
9.52916667,-114.20000000000066,0.0
9.52916667,-114.10000000000066,0.0
9.52916667,-114.00000000000067,0.0
9.52916667,-113.90000000000067,0.0
9.52916667,-113.80000000000068,0.0
9.52916667,-113.70000000000068,0.0
9.52916667,-113.60000000000069,0.0
9.52916667,-113.5000000000007,0.0
9.52916667,-113.4000000000007,0.0
9.52916667,-113.30000000000071,0.0
9.52916667,-113.20000000000071,0.0
9.52916667,-113.10000000000072,0.0
9.52916667,-113.00000000000072,0.0
9.52916667,-112.90000000000073,0.0
9.52916667,-112.80000000000074,0.0
9.52916667,-112.70000000000074,0.0
9.52916667,-112.60000000000075,0.0
9.52916667,-112.50000000000075,0.0
9.52916667,-112.40000000000076,0.0
9.52916667,-112.30000000000076,0.0
9.52916667,-112.20000000000077,0.0
9.52916667,-112.10000000000078,0.0
9.52916667,-112.00000000000078,0.0
9.52916667,-111.90000000000079,0.0
9.52916667,-111.8000000000008,0.0
9.52916667,-111.7000000000008,0.0
9.52916667,-111.6000000000008,0.0
9.52916667,-111.50000000000081,0.0
9.52916667,-111.40000000000082,0.0
9.52916667,-111.30000000000082,0.0
9.52916667,-111.20000000000083,0.0
9.52916667,-111.10000000000083,0.0
9.52916667,-111.00000000000084,0.0
9.52916667,-110.90000000000084,0.0
9.52916667,-110.80000000000085,0.0
9.52916667,-110.70000000000086,0.0
9.52916667,-110.60000000000086,0.0
9.52916667,-110.50000000000087,0.0
9.52916667,-110.40000000000087,0.0
9.52916667,-110.30000000000088,0.0
9.52916667,-110.20000000000088,0.0
9.52916667,-110.10000000000089,0.0
9.52916667,-110.0000000000009,0.0
9.52916667,-109.9000000000009,0.0
9.52916667,-109.8000000000009,0.0
9.52916667,-109.70000000000091,0.0
9.52916667,-109.60000000000092,0.0
9.52916667,-109.50000000000092,0.0
9.52916667,-109.40000000000093,0.0
9.52916667,-109.30000000000094,0.0
9.52916667,-109.20000000000094,0.0
9.52916667,-109.10000000000095,0.0
9.52916667,-109.00000000000095,0.0
9.52916667,-108.90000000000096,0.0
9.52916667,-108.80000000000096,0.0
9.52916667,-108.70000000000097,0.0
9.52916667,-108.60000000000097,0.0
9.52916667,-108.50000000000098,0.0
9.52916667,-108.40000000000099,0.0
9.52916667,-108.30000000000099,0.0
9.52916667,-108.200000000001,0.0
9.52916667,-108.100000000001,0.0
9.52916667,-108.00000000000101,0.0
9.52916667,-107.90000000000101,0.0
9.52916667,-107.80000000000102,0.0
9.52916667,-107.70000000000103,0.0
9.52916667,-107.60000000000103,0.0
9.52916667,-107.50000000000104,0.0
9.52916667,-107.40000000000104,0.0
9.52916667,-107.30000000000105,0.0
9.52916667,-107.20000000000105,0.0
9.52916667,-107.10000000000106,0.0
9.52916667,-107.00000000000107,0.0
9.52916667,-106.90000000000107,0.0
9.52916667,-106.80000000000108,0.0
9.52916667,-106.70000000000108,0.0
9.52916667,-106.60000000000109,0.0
9.52916667,-106.5000000000011,0.0
9.52916667,-106.4000000000011,0.0
9.52916667,-106.3000000000011,0.0
9.52916667,-106.20000000000111,0.0
9.52916667,-106.10000000000112,0.0
9.52916667,-106.00000000000112,0.0
9.52916667,-105.90000000000113,0.0
9.52916667,-105.80000000000113,0.0
9.52916667,-105.70000000000114,0.0
9.52916667,-105.60000000000115,0.0
9.52916667,-105.50000000000115,0.0
9.52916667,-105.40000000000116,0.0
9.52916667,-105.30000000000116,0.0
9.52916667,-105.20000000000117,0.0
9.52916667,-105.10000000000117,0.0
9.52916667,-105.00000000000118,0.0
9.52916667,-104.90000000000119,0.0
9.52916667,-104.80000000000119,0.0
9.52916667,-104.7000000000012,0.0
9.52916667,-104.6000000000012,0.0
9.52916667,-104.50000000000121,0.0
9.52916667,-104.40000000000121,0.0
9.52916667,-104.30000000000122,0.0
9.52916667,-104.20000000000122,0.0
9.52916667,-104.10000000000123,0.0
9.52916667,-104.00000000000124,0.0
9.52916667,-103.90000000000124,0.0
9.52916667,-103.80000000000125,0.0
9.52916667,-103.70000000000125,0.0
9.52916667,-103.60000000000126,0.0
9.52916667,-103.50000000000126,0.0
9.52916667,-103.40000000000127,0.0
9.52916667,-103.30000000000128,0.0
9.52916667,-103.20000000000128,0.0
9.52916667,-103.10000000000129,0.0
9.52916667,-103.0000000000013,0.0
9.52916667,-102.9000000000013,0.0
9.52916667,-102.8000000000013,0.0
9.52916667,-102.70000000000131,0.0
9.52916667,-102.60000000000132,0.0
9.52916667,-102.50000000000132,0.0
9.52916667,-102.40000000000133,0.0
9.52916667,-102.30000000000133,0.0
9.52916667,-102.20000000000134,0.0
9.52916667,-102.10000000000134,0.0
9.52916667,-102.00000000000135,0.0
9.52916667,-101.90000000000136,0.0
9.52916667,-101.80000000000136,0.0
9.52916667,-101.70000000000137,0.0
9.52916667,-101.60000000000137,0.0
9.52916667,-101.50000000000138,0.0
9.52916667,-101.40000000000138,0.0
9.52916667,-101.30000000000139,0.0
9.52916667,-101.2000000000014,0.0
9.52916667,-101.1000000000014,0.0
9.52916667,-101.0000000000014,0.0
9.52916667,-100.90000000000141,0.0
9.52916667,-100.80000000000142,0.0
9.52916667,-100.70000000000142,0.0
9.52916667,-100.60000000000143,0.0
9.52916667,-100.50000000000144,0.0
9.52916667,-100.40000000000144,0.0
9.52916667,-100.30000000000145,0.0
9.52916667,-100.20000000000145,0.0
9.52916667,-100.10000000000146,0.0
9.52916667,-100.00000000000146,0.0
9.52916667,-99.90000000000147,0.0
9.52916667,-99.80000000000148,0.0
9.52916667,-99.70000000000148,0.0
9.52916667,-99.60000000000149,0.0
9.52916667,-99.50000000000149,0.0
9.52916667,-99.4000000000015,0.0
9.52916667,-99.3000000000015,0.0
9.52916667,-99.20000000000151,0.0
9.52916667,-99.10000000000151,0.0
9.52916667,-99.00000000000152,0.0
9.52916667,-98.90000000000153,0.0
9.52916667,-98.80000000000153,0.0
9.52916667,-98.70000000000154,0.0
9.52916667,-98.60000000000154,0.0
9.52916667,-98.50000000000155,0.0
9.52916667,-98.40000000000155,0.0
9.52916667,-98.30000000000156,0.0
9.52916667,-98.20000000000157,0.0
9.52916667,-98.10000000000157,0.0
9.52916667,-98.00000000000158,0.0
9.52916667,-97.90000000000158,0.0
9.52916667,-97.80000000000159,0.0
9.52916667,-97.7000000000016,0.0
9.52916667,-97.6000000000016,0.0
9.52916667,-97.5000000000016,0.0
9.52916667,-97.40000000000161,0.0
9.52916667,-97.30000000000162,0.0
9.52916667,-97.20000000000162,0.0
9.52916667,-97.10000000000163,0.0
9.52916667,-97.00000000000163,0.0
9.52916667,-96.90000000000164,0.0
9.52916667,-96.80000000000165,0.0
9.52916667,-96.70000000000165,0.0
9.52916667,-96.60000000000166,0.0
9.52916667,-96.50000000000166,0.0
9.52916667,-96.40000000000167,0.0
9.52916667,-96.30000000000167,0.0
9.52916667,-96.20000000000168,0.0
9.52916667,-96.10000000000169,0.0
9.52916667,-96.00000000000169,0.0
9.52916667,-95.9000000000017,0.0
9.52916667,-95.8000000000017,0.0
9.52916667,-95.70000000000171,0.0
9.52916667,-95.60000000000171,0.0
9.52916667,-95.50000000000172,0.0
9.52916667,-95.40000000000173,0.0
9.52916667,-95.30000000000173,0.0
9.52916667,-95.20000000000174,0.0
9.52916667,-95.10000000000174,0.0
9.52916667,-95.00000000000175,0.0
9.52916667,-94.90000000000175,0.0
9.52916667,-94.80000000000176,0.0
9.52916667,-94.70000000000176,0.0
9.52916667,-94.60000000000177,0.0
9.52916667,-94.50000000000178,0.0
9.52916667,-94.40000000000178,0.0
9.52916667,-94.30000000000179,0.0
9.52916667,-94.2000000000018,0.0
9.52916667,-94.1000000000018,0.0
9.52916667,-94.0000000000018,0.0
9.52916667,-93.90000000000181,0.0
9.52916667,-93.80000000000182,0.0
9.52916667,-93.70000000000182,0.0
9.52916667,-93.60000000000183,0.0
9.52916667,-93.50000000000183,0.0
9.52916667,-93.40000000000184,0.0
9.52916667,-93.30000000000184,0.0
9.52916667,-93.20000000000185,0.0
9.52916667,-93.10000000000186,0.0
9.52916667,-93.00000000000186,0.0
9.52916667,-92.90000000000187,0.0
9.52916667,-92.80000000000187,0.0
9.52916667,-92.70000000000188,0.0
9.52916667,-92.60000000000188,0.0
9.52916667,-92.50000000000189,0.0
9.52916667,-92.4000000000019,0.0
9.52916667,-92.3000000000019,0.0
9.52916667,-92.2000000000019,0.0
9.52916667,-92.10000000000191,0.0
9.52916667,-92.00000000000192,0.0
9.52916667,-91.90000000000192,0.0
9.52916667,-91.80000000000193,0.0
9.52916667,-91.70000000000194,0.0
9.62916667,-125.8,0.0
9.62916667,-125.7,0.0
9.62916667,-125.60000000000001,0.0
9.62916667,-125.50000000000001,0.0
9.62916667,-125.40000000000002,0.0
9.62916667,-125.30000000000003,0.0
9.62916667,-125.20000000000003,0.0
9.62916667,-125.10000000000004,0.0
9.62916667,-125.00000000000004,0.0
9.62916667,-124.90000000000005,0.0
9.62916667,-124.80000000000005,0.0
9.62916667,-124.70000000000006,0.0
9.62916667,-124.60000000000007,0.0
9.62916667,-124.50000000000007,0.0
9.62916667,-124.40000000000008,0.0
9.62916667,-124.30000000000008,0.0
9.62916667,-124.20000000000009,0.0
9.62916667,-124.1000000000001,0.0
9.62916667,-124.0000000000001,0.0
9.62916667,-123.9000000000001,0.0
9.62916667,-123.80000000000011,0.0
9.62916667,-123.70000000000012,0.0
9.62916667,-123.60000000000012,0.0
9.62916667,-123.50000000000013,0.0
9.62916667,-123.40000000000013,0.0
9.62916667,-123.30000000000014,0.0
9.62916667,-123.20000000000014,0.0
9.62916667,-123.10000000000015,0.0
9.62916667,-123.00000000000016,0.0
9.62916667,-122.90000000000016,0.0
9.62916667,-122.80000000000017,0.0
9.62916667,-122.70000000000017,0.0
9.62916667,-122.60000000000018,0.0
9.62916667,-122.50000000000018,0.0
9.62916667,-122.40000000000019,0.0
9.62916667,-122.3000000000002,0.0
